Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
YM WITNESS,Yang Ming Line,FE3,INBOUND,23/11/2019 20:00,24/11/2019 17:00,Antwerp,Piraeus,23/11/2019 22:36,24/11/2019 20:00
MAJESTIC,HAPAG LLOYD,CES,INBOUND,24/11/2019 06:00,24/11/2019 21:00,Moin,Vlissingen,24/11/2019 07:55,24/11/2019 23:59
MSC MONICA,MSC,BL11,INBOUND,24/11/2019 18:00,25/11/2019 06:00,Liverpool,Antwerp,24/11/2019 21:50,25/11/2019 04:19
MERCS JAFFNA,Unifeeder,AD HOC,INBOUND,18/11/2019 23:59,19/11/2019 10:00,Santa Marta,Antwerp,18/11/2019 19:00,19/11/2019 11:08
COSCO BELGIUM,China Ocean Steamship Company,EPIC,INBOUND,23/11/2019 20:00,24/11/2019 12:00,Le Havre,Hamburg,24/11/2019 06:55,25/11/2019 01:28
APL MEXICO CITY,CMA CGM,NEMO,INBOUND,24/11/2019 22:00,25/11/2019 14:00,Malta Freeport Distripark,Hamburg,25/11/2019 20:00,26/11/2019 03:10
ELLY MAERSK,Maersk Line,AE7,INBOUND,26/11/2019 06:00,27/11/2019 06:00,Nansha,Piraeus,26/11/2019 10:05,27/11/2019 22:25
ST LOUIS EXPRESS,HAPAG LLOYD,AL3,INBOUND,26/11/2019 06:00,26/11/2019 17:00,Norfolk,Bremerhaven,26/11/2019 05:22,26/11/2019 15:06
CMA CGM FORT ST CHARLES,CMA CGM,NEFWI,INBOUND,26/11/2019 18:00,27/11/2019 06:00,Moin,London Gateway Port,26/11/2019 20:46,27/11/2019 09:25
MOL EMISSARY,Ocean Network Express,AL4,INBOUND,27/11/2019 06:00,27/11/2019 23:00,Tuxpan,Southampton,27/11/2019 06:58,28/11/2019 02:14
ER TOKYO,MSC,AUS,INBOUND,27/11/2019 07:00,28/11/2019 04:00,Damietta,Antwerp,27/11/2019 11:13,28/11/2019 05:04
MSC SARAH,MSC,AEGEAN,INBOUND,27/11/2019 07:00,28/11/2019 07:00,Gent (Ghent),Rotterdam,27/11/2019 23:58,28/11/2019 12:35
COSCO SHIPPING DANUBE,China Ocean Steamship Company,SAWC,INBOUND,28/11/2019 05:00,29/11/2019 02:00,Posorja,Hamburg,28/11/2019 05:10,29/11/2019 02:45
CONTI EVEREST,MSC,LEV,INBOUND,28/11/2019 07:00,28/11/2019 23:00,Gent (Ghent),Antwerp,29/11/2019 15:50,30/11/2019 17:30
MSC KATYAYNI,MSC,WAF,INBOUND,28/11/2019 16:00,29/11/2019 04:00,Cotonou,Rotterdam,29/11/2019 05:00,29/11/2019 13:19
SANTA BARBARA,Maersk Line,SAECS,INBOUND,28/11/2019 23:59,29/11/2019 16:00,Rotterdam,Bremerhaven,29/11/2019 00:45,29/11/2019 12:17
